" ","1","2","3","4","5","6","7","8","9"
"1",238,170,203,211,186,163,81,210,200
"2",167,117,123,148,114,66,45,120,110
"3",309,208,244,252,224,161,83,251,231
"4",188,134,156,160,140,115,63,165,158
"5",228,153,181,193,167,112,73,190,176
"6",213,126,166,183,147,89,67,162,144
"7",237,124,180,182,149,80,60,172,148
"8",350,223,282,300,256,189,96,281,256
"9",433,235,330,371,317,211,107,334,284




"1",420,300,358,371,328,288,143,370,353
"2",510,290,346,457,349,198,135,345,295
"3",447,297,345,366,321,236,130,360,334
"4",420,302,352,360,316,257,137,368,348
"5",431,291,345,365,316,210,135,360,332
"6",443,290,358,383,316,179,131,345,306
"7",531,290,408,408,339,179,130,394,341
"8",432,290,347,376,316,235,130,345,318
"9",487,290,358,437,353,232,147,352,295

